problem_id,implementation,measurement,trial,N,h,runtime_s,peak_rss_mib
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,20480,0.000244140625,0.024086166,568.921875
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,20480,0.000244140625,0.025135792,566.96875
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,20480,0.000244140625,0.021924458,567.4375
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,20480,0.000244140625,0.023770416,570.59375
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,40960,0.0001220703125,0.052933167,586.90625
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,40960,0.0001220703125,0.047773791,584.921875
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,40960,0.0001220703125,0.05552975,580.046875
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,40960,0.0001220703125,0.054682208,560.765625
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,40960,0.0001220703125,0.054011083,575.015625
scalar_linear_d1_alpha0.8_t5,MATLAB,baseline,1,0,0.0,0.0,515.046875
scalar_linear_d1_alpha0.8_t5,MATLAB,baseline,2,0,0.0,0.0,554.609375
scalar_linear_d1_alpha0.8_t5,MATLAB,baseline,3,0,0.0,0.0,572.21875
scalar_linear_d1_alpha0.8_t5,MATLAB,baseline,4,0,0.0,0.0,572.40625
scalar_linear_d1_alpha0.8_t5,MATLAB,baseline,5,0,0.0,0.0,567.84375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,320,0.015625,0.03413279166666667,576.21875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,320,0.015625,0.038047333333333336,599.71875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,320,0.015625,0.021954208333333333,599.796875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,320,0.015625,0.023380833333333333,597.5
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,320,0.015625,0.022291958333333334,599.890625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,640,0.0078125,0.038835625,538.4375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,640,0.0078125,0.02907575,572.203125
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,640,0.0078125,0.029800916666666667,596.71875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,640,0.0078125,0.037754875,553.109375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,640,0.0078125,0.03391125,564.046875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,1280,0.00390625,0.06258316666666666,538.875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,1280,0.00390625,0.05069841666666667,523.59375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,1280,0.00390625,0.07681679166666666,578.078125
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,1280,0.00390625,0.06779995833333333,547.484375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,1280,0.00390625,0.06900820833333333,570.0625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,2560,0.001953125,0.07240958333333333,601.859375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,2560,0.001953125,0.09601279166666667,553.734375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,2560,0.001953125,0.09406333333333333,611.390625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,2560,0.001953125,0.096434875,607.390625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,2560,0.001953125,0.07830670833333334,594.421875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,5120,0.0009765625,0.10307079166666666,601.265625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,5120,0.0009765625,0.11743854166666666,610.953125
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,5120,0.0009765625,0.161315375,548.5
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,5120,0.0009765625,0.14603683333333334,555.921875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,5120,0.0009765625,0.14855229166666667,573.90625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,10240,0.00048828125,0.14720504166666668,583.984375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,10240,0.00048828125,0.16457795833333333,548.59375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,10240,0.00048828125,0.28196683333333333,521.640625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,10240,0.00048828125,0.16079741666666666,526.90625
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,10240,0.00048828125,0.134531125,610.109375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,20480,0.000244140625,0.2541964583333333,614.71875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,20480,0.000244140625,0.223227875,572.359375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,20480,0.000244140625,0.26007404166666664,601.234375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,20480,0.000244140625,0.231972625,616.796875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,20480,0.000244140625,0.26053058333333334,547.4375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,1,40960,0.0001220703125,0.41135283333333333,537.5
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,2,40960,0.0001220703125,0.372045875,571.71875
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,3,40960,0.0001220703125,0.38653445833333333,623.234375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,4,40960,0.0001220703125,0.3981905416666667,597.375
scalar_linear_d1_alpha0.8_t5,MATLAB,solve,5,40960,0.0001220703125,0.4033125833333333,572.21875
scalar_linear_d1_alpha0.8_t5,Python,baseline,1,0,0.0,0.0,58.515625
scalar_linear_d1_alpha0.8_t5,Python,baseline,2,0,0.0,0.0,58.3125
scalar_linear_d1_alpha0.8_t5,Python,baseline,3,0,0.0,0.0,58.203125
scalar_linear_d1_alpha0.8_t5,Python,baseline,4,0,0.0,0.0,58.0625
scalar_linear_d1_alpha0.8_t5,Python,baseline,5,0,0.0,0.0,58.921875
scalar_linear_d1_alpha0.8_t5,Python,solve,1,320,0.015625,0.010111125011462718,58.53125
scalar_linear_d1_alpha0.8_t5,Python,solve,2,320,0.015625,0.010075333004351705,58.6875
scalar_linear_d1_alpha0.8_t5,Python,solve,3,320,0.015625,0.010243833996355534,58.859375
scalar_linear_d1_alpha0.8_t5,Python,solve,4,320,0.015625,0.009970624989364296,58.546875
scalar_linear_d1_alpha0.8_t5,Python,solve,5,320,0.015625,0.010383082961197942,58.4375
scalar_linear_d1_alpha0.8_t5,Python,solve,1,640,0.0078125,0.022699791006743908,59.703125
scalar_linear_d1_alpha0.8_t5,Python,solve,2,640,0.0078125,0.02228829200612381,59.25
scalar_linear_d1_alpha0.8_t5,Python,solve,3,640,0.0078125,0.022901457967236638,59.359375
scalar_linear_d1_alpha0.8_t5,Python,solve,4,640,0.0078125,0.022557292017154396,59.453125
scalar_linear_d1_alpha0.8_t5,Python,solve,5,640,0.0078125,0.02239900000859052,58.734375
scalar_linear_d1_alpha0.8_t5,Python,solve,1,1280,0.00390625,0.05315316701307893,58.3125
scalar_linear_d1_alpha0.8_t5,Python,solve,2,1280,0.00390625,0.05379779200302437,59.359375
scalar_linear_d1_alpha0.8_t5,Python,solve,3,1280,0.00390625,0.05376591597450897,58.65625
scalar_linear_d1_alpha0.8_t5,Python,solve,4,1280,0.00390625,0.05427345901262015,59.390625
scalar_linear_d1_alpha0.8_t5,Python,solve,5,1280,0.00390625,0.05355133302509785,58.625
scalar_linear_d1_alpha0.8_t5,Python,solve,1,2560,0.001953125,0.14411683398066089,59.890625
scalar_linear_d1_alpha0.8_t5,Python,solve,2,2560,0.001953125,0.15057787502883002,59.921875
scalar_linear_d1_alpha0.8_t5,Python,solve,3,2560,0.001953125,0.1448126249597408,59.90625
scalar_linear_d1_alpha0.8_t5,Python,solve,4,2560,0.001953125,0.14609962498070672,60.328125
scalar_linear_d1_alpha0.8_t5,Python,solve,5,2560,0.001953125,0.14447945798747241,60.203125
scalar_linear_d1_alpha0.8_t5,Python,solve,1,5120,0.0009765625,0.43980945798102766,61.125
scalar_linear_d1_alpha0.8_t5,Python,solve,2,5120,0.0009765625,0.4525682919775136,61.578125
scalar_linear_d1_alpha0.8_t5,Python,solve,3,5120,0.0009765625,0.44050820800475776,60.84375
scalar_linear_d1_alpha0.8_t5,Python,solve,4,5120,0.0009765625,0.4495689590112306,61.65625
scalar_linear_d1_alpha0.8_t5,Python,solve,5,5120,0.0009765625,0.4409622499952093,60.890625
scalar_linear_d1_alpha0.8_t5,Python,solve,1,10240,0.00048828125,1.4925397079787217,63.84375
scalar_linear_d1_alpha0.8_t5,Python,solve,2,10240,0.00048828125,1.509570290974807,64.75
scalar_linear_d1_alpha0.8_t5,Python,solve,3,10240,0.00048828125,1.4959036659565754,64.78125
scalar_linear_d1_alpha0.8_t5,Python,solve,4,10240,0.00048828125,1.496322249993682,64.875
scalar_linear_d1_alpha0.8_t5,Python,solve,5,10240,0.00048828125,1.4866930830175988,63.953125
scalar_linear_d1_alpha0.8_t5,Python,solve,1,20480,0.000244140625,5.367525083012879,70.140625
scalar_linear_d1_alpha0.8_t5,Python,solve,2,20480,0.000244140625,5.376710541022476,71.8125
scalar_linear_d1_alpha0.8_t5,Python,solve,3,20480,0.000244140625,5.356915083015338,70.25
scalar_linear_d1_alpha0.8_t5,Python,solve,4,20480,0.000244140625,5.386218125000596,69.90625
scalar_linear_d1_alpha0.8_t5,Python,solve,5,20480,0.000244140625,5.371252041019034,70.96875
scalar_linear_d1_alpha0.8_t5,Python,solve,1,40960,0.0001220703125,20.726798875024542,70.75
scalar_linear_d1_alpha0.8_t5,Python,solve,2,40960,0.0001220703125,20.947100332996342,80.921875
scalar_linear_d1_alpha0.8_t5,Python,solve,3,40960,0.0001220703125,20.76962870801799,82.40625
scalar_linear_d1_alpha0.8_t5,Python,solve,4,40960,0.0001220703125,20.87821954098763,70.171875
scalar_linear_d1_alpha0.8_t5,Python,solve,5,40960,0.0001220703125,20.89029233402107,81.578125
